code,numeric,name
Piqd,293,Klingon (KLI pIqaD)
Prti,130,Inscriptional Parthian
Psin,103,Proto-Sinaitic
Qaaa,900,Reserved for private use (start)
Qabx,949,Reserved for private use (end)
Ranj,303,Ranjana
Rjng,363,"Rejang (Redjang, Kaganga)"
Rohg,167,Hanifi Rohingya
Roro,620,Rongorongo
Runr,211,Runic
Samr,123,Samaritan
Sara,292,Sarati
Sarb,105,Old South Arabian
Saur,344,Saurashtra
Seal,590,(Small) Seal
Sgnw,095,SignWriting
Shaw,281,Shavian (Shaw)
Shrd,319,"Sharada, Śāradā"
Shui,530,Shuishu
Sidd,302,"Siddham, Siddhaṃ, Siddhamātṛkā"
Sidt,180,Sidetic
Sind,318,"Khudawadi, Sindhi"
Sinh,348,Sinhala
Sogd,141,Sogdian
Sogo,142,Old Sogdian
Sora,398,Sora Sompeng
Soyo,329,Soyombo
Sund,362,Sundanese
Sunu,274,Sunuwar
Sylo,316,Syloti Nagri
Syrc,135,Syriac
Syre,138,Syriac (Estrangelo variant)
Syrj,137,Syriac (Western variant)
Syrn,136,Syriac (Eastern variant)
Tagb,373,Tagbanwa
Takr,321,"Takri, Ṭākrī, Ṭāṅkrī"
Tale,353,Tai Le
Talu,354,New Tai Lue
Taml,346,Tamil
Tang,520,Tangut
Tavt,359,Tai Viet
Tayo,380,Tai Yo
Telu,340,Telugu
Teng,290,Tengwar
Tfng,120,Tifinagh (Berber)
Tglg,370,"Tagalog (Baybayin, Alibata)"
Thaa,170,Thaana
Thai,352,Thai
Tibt,330,Tibetan
Tirh,326,Tirhuta
Tnsa,275,Tangsa
Todr,229,Todhri
Tols,299,Tolong Siki
Toto,294,Toto
Tutg,341,Tulu-Tigalari
Ugar,040,Ugaritic
Vaii,470,Vai
Visp,280,Visible Speech
Vith,228,Vithkuqi
Wara,262,Warang Citi (Varang Kshiti)
Wcho,283,Wancho
Wole,480,Woleai
Xpeo,030,Old Persian
Xsux,020,"Cuneiform, Sumero-Akkadian"
Yezi,192,Yezidi
Yiii,460,Yi
Zanb,339,"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)"
Zinh,994,Code for inherited script
Zmth,995,Mathematical notation
Zsye,993,Symbols (Emoji variant)
Zsym,996,Symbols
Zxxx,997,Code for unwritten documents
Zyyy,998,Code for undetermined script
Zzzz,999,Code for uncoded script
